COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,3,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
ÁNCASH,INGENIERÍA CIVIL,FEMENINO,NO,2,18
ÁNCASH,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,17
ÁNCASH,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,19
AMAZONAS,ARQUITECTURA,MASCULINO,NO,4,21
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,4,21
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,22
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
MADRE DE DIOS,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
CAJAMARCA,INGENIERÍA DE SISTEMAS,FEMENINO,NO,5,23
ICA,INGENIERÍA CIVIL,FEMENINO,NO,2,19
LIMA,INGENIERÍA DE MINAS,MASCULINO,SI,2,18
ICA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
CALLAO,INGENIERÍA DE SISTEMAS,MASCULINO,SI,5,22
LIMA,INGENIERÍA METALÚRGICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
PUNO,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,20
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
CALLAO,INGENIERÍA MECATRÓNICA,MASCULINO,NO,3,20
LIMA,QUÍMICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,18
JUNÍN,CIENCIA DE LA COMPUTACIÓN,MASCULINO,SI,3,20
LIMA,QUÍMICA,MASCULINO,SI,2,18
ICA,INGENIERÍA ELÉCTRICA,MASCULINO,SI,2,19
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,6,22
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,NO,4,20
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,SI,7,24
LIMA,CIENCIA DE LA COMPUTACIÓN,MASCULINO,NO,5,22
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,4,21
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,3,19
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,2,19
LIMA,MATEMÁTICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,5,22
LIMA,INGENIERÍA SANITARIA,MASCULINO,NO,3,19
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,5,21
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,2,19
LIMA,ARQUITECTURA,FEMENINO,SI,5,21
PUNO,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,18
AMAZONAS,INGENIERÍA DE CIBERSEGURIDAD,FEMENINO,NO,1,17
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,4,21
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE MINAS,FEMENINO,NO,2,18
HUANUCO,INGENIERÍA CIVIL,FEMENINO,SI,1,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,2,18
CALLAO,FÍSICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA QUÍMICA,MASCULINO,NO,3,19
ICA,INGENIERÍA MECATRÓNICA,MASCULINO,SI,8,24
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
SAN MARTIN,INGENIERÍA MECÁNICA,MASCULINO,NO,3,20
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,2,18
LIMA,INGENIERÍA METALÚRGICA,FEMENINO,SI,4,21
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,2,19
PUNO,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,19
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA SANITARIA,MASCULINO,NO,4,20
LIMA,INGENIERÍA PETROQUÍMICA,FEMENINO,NO,3,19
LIMA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,SI,1,17
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,2,19
CALLAO,INGENIERÍA CIVIL,MASCULINO,NO,5,21
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,4,20
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
CALLAO,INGENIERÍA INDUSTRIAL,MASCULINO,NO,0,17
LIMA,CIENCIA DE LA COMPUTACIÓN,MASCULINO,SI,11,27
HUANCAVELICA,INGENIERÍA CIVIL,MASCULINO,NO,6,22
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
JUNÍN,ARQUITECTURA,FEMENINO,NO,1,18
CALLAO,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,3,18
ICA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,1,18
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,SI,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,4,21
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,10,25
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,4,25
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,ARQUITECTURA,MASCULINO,NO,3,18
CAJAMARCA,INGENIERÍA MECÁNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,20
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,3,19
ICA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,SI,2,18
LIMA,ARQUITECTURA,MASCULINO,NO,1,17
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA ECONÓMICA,FEMENINO,NO,4,20
JUNIN,ARQUITECTURA,MASCULINO,NO,4,21
LIMA,ARQUITECTURA,MASCULINO,SI,2,19
LIMA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,SI,12,28
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,SI,4,20
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,2,19
JUNIN,INGENIERÍA DE PETRÓLEO Y GAS NATURAL,MASCULINO,SI,1,17
UCAYALI,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,20
AYACUCHO,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,19
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,3,19
ANCASH,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,FEMENINO,NO,4,21
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,NO,3,20
MADRE DE DIOS,INGENIERÍA CIVIL,MASCULINO,NO,4,20
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,3,19
LIMA,ARQUITECTURA,FEMENINO,NO,3,19
LIMA,INGENIERÍA GEOLÓGICA,MASCULINO,NO,1,18
LIMA,FÍSICA,MASCULINO,NO,5,21
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,20
LIMA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,4,21
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,SI,2,19
LIMA,INGENIERÍA METALÚRGICA,FEMENINO,NO,3,19
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,19
CALLAO,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,3,20
ANCASH,INGENIERÍA MECATRÓNICA,FEMENINO,NO,2,18
CALLAO,INGENIERÍA ECONÓMICA,MASCULINO,SI,1,17
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,3,19
CALLAO,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,2,18
LIMA,ARQUITECTURA,FEMENINO,NO,3,19
JUNIN,INGENIERÍA CIVIL,MASCULINO,NO,4,20
JUNIN,ARQUITECTURA,FEMENINO,NO,2,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,NO,2,18
LIMA,INGENIERÍA MECÁNICA-ELÉCTRICA,MASCULINO,NO,6,24
LIMA,CIENCIA DE LA COMPUTACIÓN,MASCULINO,NO,1,18
LIMA,INGENIERÍA ECONÓMICA,FEMENINO,NO,4,20
